OK:           0 +           0 = 00000
ERRO:           0 +           1 =  1, -> 00000 (cout=0, out=0000)
ERRO:           0 +           2 =  2, -> 00000 (cout=0, out=0000)
ERRO:           0 +           3 =  3, -> 00000 (cout=0, out=0000)
OK:           0 +           4 = 00100
ERRO:           0 +           5 =  5, -> 00100 (cout=0, out=0100)
ERRO:           0 +           6 =  6, -> 00100 (cout=0, out=0100)
ERRO:           0 +           7 =  7, -> 00100 (cout=0, out=0100)
ERRO:           0 +           8 =  8, -> 00000 (cout=0, out=0000)
ERRO:           0 +           9 =  9, -> 00000 (cout=0, out=0000)
ERRO:           0 +          10 = 10, -> 00000 (cout=0, out=0000)
ERRO:           0 +          11 = 11, -> 00000 (cout=0, out=0000)
ERRO:           0 +          12 = 12, -> 00100 (cout=0, out=0100)
ERRO:           0 +          13 = 13, -> 00100 (cout=0, out=0100)
ERRO:           0 +          14 = 14, -> 00100 (cout=0, out=0100)
ERRO:           0 +          15 = 15, -> 00100 (cout=0, out=0100)
OK:           1 +           0 = 00001
ERRO:           1 +           1 =  2, -> 00011 (cout=0, out=0011)
ERRO:           1 +           2 =  3, -> 00001 (cout=0, out=0001)
ERRO:           1 +           3 =  4, -> 00011 (cout=0, out=0011)
OK:           1 +           4 = 00101
ERRO:           1 +           5 =  6, -> 00111 (cout=0, out=0111)
ERRO:           1 +           6 =  7, -> 00101 (cout=0, out=0101)
ERRO:           1 +           7 =  8, -> 00111 (cout=0, out=0111)
ERRO:           1 +           8 =  9, -> 00001 (cout=0, out=0001)
ERRO:           1 +           9 = 10, -> 00011 (cout=0, out=0011)
ERRO:           1 +          10 = 11, -> 00001 (cout=0, out=0001)
ERRO:           1 +          11 = 12, -> 00011 (cout=0, out=0011)
ERRO:           1 +          12 = 13, -> 00101 (cout=0, out=0101)
ERRO:           1 +          13 = 14, -> 00111 (cout=0, out=0111)
ERRO:           1 +          14 = 15, -> 00101 (cout=0, out=0101)
ERRO:           1 +          15 = 16, -> 00111 (cout=0, out=0111)
OK:           2 +           0 = 00010
ERRO:           2 +           1 =  3, -> 00010 (cout=0, out=0010)
ERRO:           2 +           2 =  4, -> 01110 (cout=0, out=1110)
ERRO:           2 +           3 =  5, -> 01110 (cout=0, out=1110)
OK:           2 +           4 = 00110
ERRO:           2 +           5 =  7, -> 00110 (cout=0, out=0110)
ERRO:           2 +           6 =  8, -> 01010 (cout=0, out=1010)
ERRO:           2 +           7 =  9, -> 01010 (cout=0, out=1010)
ERRO:           2 +           8 = 10, -> 00010 (cout=0, out=0010)
ERRO:           2 +           9 = 11, -> 00010 (cout=0, out=0010)
ERRO:           2 +          10 = 12, -> 01110 (cout=0, out=1110)
ERRO:           2 +          11 = 13, -> 01110 (cout=0, out=1110)
ERRO:           2 +          12 = 14, -> 00110 (cout=0, out=0110)
ERRO:           2 +          13 = 15, -> 00110 (cout=0, out=0110)
ERRO:           2 +          14 = 16, -> 01010 (cout=0, out=1010)
ERRO:           2 +          15 = 17, -> 01010 (cout=0, out=1010)
OK:           3 +           0 = 00011
ERRO:           3 +           1 =  4, -> 01101 (cout=0, out=1101)
ERRO:           3 +           2 =  5, -> 01111 (cout=0, out=1111)
ERRO:           3 +           3 =  6, -> 01101 (cout=0, out=1101)
OK:           3 +           4 = 00111
ERRO:           3 +           5 =  8, -> 01001 (cout=0, out=1001)
ERRO:           3 +           6 =  9, -> 01011 (cout=0, out=1011)
ERRO:           3 +           7 = 10, -> 01001 (cout=0, out=1001)
ERRO:           3 +           8 = 11, -> 00011 (cout=0, out=0011)
ERRO:           3 +           9 = 12, -> 01101 (cout=0, out=1101)
ERRO:           3 +          10 = 13, -> 01111 (cout=0, out=1111)
ERRO:           3 +          11 = 14, -> 01101 (cout=0, out=1101)
ERRO:           3 +          12 = 15, -> 00111 (cout=0, out=0111)
ERRO:           3 +          13 = 16, -> 01001 (cout=0, out=1001)
ERRO:           3 +          14 = 17, -> 01011 (cout=0, out=1011)
ERRO:           3 +          15 = 18, -> 01001 (cout=0, out=1001)
ERRO:           4 +           0 =  4, -> 00000 (cout=0, out=0000)
ERRO:           4 +           1 =  5, -> 00000 (cout=0, out=0000)
ERRO:           4 +           2 =  6, -> 00000 (cout=0, out=0000)
ERRO:           4 +           3 =  7, -> 00000 (cout=0, out=0000)
ERRO:           4 +           4 =  8, -> 00100 (cout=0, out=0100)
ERRO:           4 +           5 =  9, -> 00100 (cout=0, out=0100)
ERRO:           4 +           6 = 10, -> 00100 (cout=0, out=0100)
ERRO:           4 +           7 = 11, -> 00100 (cout=0, out=0100)
ERRO:           4 +           8 = 12, -> 00000 (cout=0, out=0000)
ERRO:           4 +           9 = 13, -> 00000 (cout=0, out=0000)
ERRO:           4 +          10 = 14, -> 00000 (cout=0, out=0000)
ERRO:           4 +          11 = 15, -> 00000 (cout=0, out=0000)
ERRO:           4 +          12 = 16, -> 00100 (cout=0, out=0100)
ERRO:           4 +          13 = 17, -> 00100 (cout=0, out=0100)
ERRO:           4 +          14 = 18, -> 00100 (cout=0, out=0100)
ERRO:           4 +          15 = 19, -> 00100 (cout=0, out=0100)
ERRO:           5 +           0 =  5, -> 00001 (cout=0, out=0001)
ERRO:           5 +           1 =  6, -> 00011 (cout=0, out=0011)
ERRO:           5 +           2 =  7, -> 00001 (cout=0, out=0001)
ERRO:           5 +           3 =  8, -> 00011 (cout=0, out=0011)
ERRO:           5 +           4 =  9, -> 00101 (cout=0, out=0101)
ERRO:           5 +           5 = 10, -> 00111 (cout=0, out=0111)
ERRO:           5 +           6 = 11, -> 00101 (cout=0, out=0101)
ERRO:           5 +           7 = 12, -> 00111 (cout=0, out=0111)
ERRO:           5 +           8 = 13, -> 00001 (cout=0, out=0001)
ERRO:           5 +           9 = 14, -> 00011 (cout=0, out=0011)
ERRO:           5 +          10 = 15, -> 00001 (cout=0, out=0001)
ERRO:           5 +          11 = 16, -> 00011 (cout=0, out=0011)
ERRO:           5 +          12 = 17, -> 00101 (cout=0, out=0101)
ERRO:           5 +          13 = 18, -> 00111 (cout=0, out=0111)
ERRO:           5 +          14 = 19, -> 00101 (cout=0, out=0101)
ERRO:           5 +          15 = 20, -> 00111 (cout=0, out=0111)
ERRO:           6 +           0 =  6, -> 00010 (cout=0, out=0010)
ERRO:           6 +           1 =  7, -> 00010 (cout=0, out=0010)
ERRO:           6 +           2 =  8, -> 01110 (cout=0, out=1110)
ERRO:           6 +           3 =  9, -> 01110 (cout=0, out=1110)
ERRO:           6 +           4 = 10, -> 00110 (cout=0, out=0110)
ERRO:           6 +           5 = 11, -> 00110 (cout=0, out=0110)
ERRO:           6 +           6 = 12, -> 01010 (cout=0, out=1010)
ERRO:           6 +           7 = 13, -> 01010 (cout=0, out=1010)
ERRO:           6 +           8 = 14, -> 00010 (cout=0, out=0010)
ERRO:           6 +           9 = 15, -> 00010 (cout=0, out=0010)
